Timestamp,Cell_ID,RSRP,SINR,Latency,Throughput,Packet_Loss,Connected_Users,Observation,Possible_Root_Cause,Recommended_Action
2026-01-01 03:55:00,Cell_04,-108.68,6.65,41.25,28.47,0.14,31,"Low RSRP, Low SINR, Low Throughput","Poor radio coverage, High interference, Heavy traffic load","Optimize antenna tilt, Review neighboring cell configuration, Enable load balancing"
2026-01-01 04:15:00,Cell_03,-110.36,4.61,93.85,40.25,3.26,59,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 04:20:00,Cell_04,-101.78,8.62,35.34,44.87,0.02,39,Low SINR,High interference,Review neighboring cell configuration
2026-01-01 04:55:00,Cell_04,-100.76,6.72,52.83,32.27,1.14,40,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-01 05:00:00,Cell_04,-98.11,7.41,35.43,44.72,0.0,39,Low SINR,High interference,Review neighboring cell configuration
2026-01-01 07:10:00,Cell_03,-104.73,9.96,119.02,60.3,6.87,90,"Low SINR, High Latency, High Packet Loss","High interference, Core network congestion, Backhaul issues","Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 08:40:00,Cell_01,-95.07,13.85,127.24,111.21,6.17,123,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-01 09:05:00,Cell_01,-82.89,18.18,113.7,264.26,1.4,149,High Latency,Core network congestion,Check UPF utilization
2026-01-01 09:30:00,Cell_02,-99.85,4.93,131.32,101.19,5.48,125,"Low SINR, High Latency, High Packet Loss","High interference, Core network congestion, Backhaul issues","Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 11:20:00,Cell_01,-103.53,14.56,125.69,116.86,5.28,132,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-01 17:10:00,Cell_01,-87.72,15.55,110.23,263.48,1.91,156,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:15:00,Cell_01,-86.95,17.17,112.58,278.78,1.49,167,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:30:00,Cell_01,-86.9,16.49,121.25,287.47,1.73,172,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:45:00,Cell_05,-94.32,17.95,113.39,290.34,1.99,159,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:50:00,Cell_01,-82.85,16.01,119.59,274.33,1.73,167,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:50:00,Cell_05,-98.24,13.69,120.8,255.03,1.38,170,High Latency,Core network congestion,Check UPF utilization
2026-01-01 17:50:00,Cell_03,-94.83,8.9,112.7,173.97,1.58,145,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-01 18:00:00,Cell_05,-95.52,11.57,118.36,243.29,1.68,173,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:10:00,Cell_01,-85.94,13.49,123.88,241.44,1.51,166,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:15:00,Cell_01,-88.42,17.51,112.9,301.31,1.18,176,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:20:00,Cell_05,-87.69,13.55,132.41,282.67,1.72,182,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:20:00,Cell_01,-92.15,14.54,121.07,272.59,1.19,178,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:20:00,Cell_03,-96.76,8.42,110.28,185.24,1.77,147,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-01 18:25:00,Cell_04,-103.7,5.11,94.08,138.94,1.41,133,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-01 18:25:00,Cell_01,-86.06,16.86,117.09,287.23,1.49,171,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:30:00,Cell_05,-99.01,12.06,119.74,246.54,1.41,179,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:35:00,Cell_01,-102.49,8.06,147.56,176.79,4.16,178,"Low SINR, High Latency, High Packet Loss","High interference, Core network congestion, Backhaul issues","Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 18:40:00,Cell_05,-91.51,16.86,123.64,298.05,1.43,177,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:40:00,Cell_01,-90.13,15.28,113.38,278.06,1.63,182,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:45:00,Cell_01,-91.63,13.63,118.15,263.84,1.57,176,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:50:00,Cell_04,-105.22,5.88,108.75,119.3,1.22,122,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-01 18:50:00,Cell_01,-87.77,17.66,124.83,306.51,1.88,182,High Latency,Core network congestion,Check UPF utilization
2026-01-01 18:50:00,Cell_03,-98.6,7.08,109.09,158.56,1.49,148,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-01 18:55:00,Cell_01,-88.73,17.65,119.48,298.27,1.45,170,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:00:00,Cell_05,-97.37,13.77,121.42,262.9,1.65,176,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:00:00,Cell_02,-92.09,14.41,120.8,259.93,1.49,172,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:00:00,Cell_01,-89.0,15.39,121.71,292.74,1.67,182,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:05:00,Cell_02,-94.3,10.25,116.16,222.57,1.61,166,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:10:00,Cell_01,-85.5,12.19,126.43,271.08,1.9,181,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:15:00,Cell_01,-87.69,15.65,125.57,282.44,1.17,173,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:20:00,Cell_01,-88.77,13.47,111.38,272.18,1.52,179,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:25:00,Cell_01,-88.53,17.19,119.43,302.03,1.37,178,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:25:00,Cell_05,-88.56,13.9,120.4,243.08,1.81,163,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:30:00,Cell_04,-108.68,3.6,121.03,88.56,7.46,105,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 19:30:00,Cell_01,-89.3,15.14,126.49,275.49,1.19,181,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:35:00,Cell_01,-82.23,14.03,131.34,269.94,2.01,177,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:35:00,Cell_04,-108.94,5.02,89.98,126.13,1.15,127,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-01 19:35:00,Cell_05,-90.45,16.47,125.56,270.51,1.55,167,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:40:00,Cell_05,-90.69,15.96,124.38,289.53,1.25,177,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:40:00,Cell_01,-88.19,15.97,121.9,284.2,1.14,177,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:45:00,Cell_01,-88.76,13.31,124.17,271.58,1.4,177,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:50:00,Cell_05,-93.98,12.9,126.67,246.84,1.69,169,High Latency,Core network congestion,Check UPF utilization
2026-01-01 19:50:00,Cell_02,-101.73,7.37,151.79,160.28,5.23,149,"Low SINR, High Latency, High Packet Loss","High interference, Core network congestion, Backhaul issues","Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 19:50:00,Cell_04,-117.61,3.31,157.66,72.13,4.49,101,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 20:00:00,Cell_01,-91.14,16.27,131.47,280.78,1.28,172,High Latency,Core network congestion,Check UPF utilization
2026-01-01 20:00:00,Cell_03,-96.56,9.52,117.05,195.8,1.53,155,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-01 20:25:00,Cell_03,-111.31,5.81,153.76,108.14,3.14,141,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-01 20:25:00,Cell_02,-110.25,10.2,152.71,126.44,7.42,153,"Low RSRP, High Latency, High Packet Loss","Poor radio coverage, Core network congestion, Backhaul issues","Optimize antenna tilt, Check UPF utilization, Inspect transport network"
2026-01-01 20:40:00,Cell_04,-109.37,3.45,92.6,94.57,0.88,109,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-01 21:15:00,Cell_04,-122.33,2.04,147.27,85.74,4.24,100,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-02 01:25:00,Cell_04,-95.7,7.51,42.86,40.97,0.53,30,Low SINR,High interference,Review neighboring cell configuration
2026-01-02 03:00:00,Cell_04,-104.96,10.24,37.15,44.88,0.43,32,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-02 03:35:00,Cell_04,-116.4,0.97,83.2,27.7,3.69,36,"Low RSRP, Low SINR, High Latency, High Packet Loss, Low Throughput","Poor radio coverage, High interference, Core network congestion, Backhaul issues, Heavy traffic load","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network, Enable load balancing"
2026-01-02 03:40:00,Cell_01,-95.78,11.48,105.43,68.16,2.95,70,High Latency,Core network congestion,Check UPF utilization
2026-01-02 05:05:00,Cell_04,-102.03,7.66,38.29,39.67,0.06,36,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-02 08:30:00,Cell_03,-108.83,5.32,147.62,84.08,4.86,97,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-02 09:15:00,Cell_03,-113.19,9.14,169.19,103.58,3.47,108,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-02 09:15:00,Cell_01,-99.99,12.12,157.93,138.23,4.67,141,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-02 09:25:00,Cell_01,-91.55,19.64,114.6,276.22,1.66,154,High Latency,Core network congestion,Check UPF utilization
2026-01-02 10:25:00,Cell_01,-87.46,12.97,120.52,232.27,1.91,156,High Latency,Core network congestion,Check UPF utilization
2026-01-02 10:50:00,Cell_05,-110.13,12.16,137.75,91.95,4.13,124,"Low RSRP, High Latency, High Packet Loss","Poor radio coverage, Core network congestion, Backhaul issues","Optimize antenna tilt, Check UPF utilization, Inspect transport network"
2026-01-02 13:20:00,Cell_05,-101.38,15.52,163.09,91.08,5.06,98,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-02 14:25:00,Cell_02,-103.25,8.53,125.41,83.78,3.57,81,"Low SINR, High Latency, High Packet Loss","High interference, Core network congestion, Backhaul issues","Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-02 15:15:00,Cell_04,-116.41,2.71,112.52,56.55,6.4,74,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-02 16:25:00,Cell_01,-100.62,10.47,152.24,151.13,5.83,124,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-02 17:00:00,Cell_01,-85.19,13.89,117.38,237.97,1.6,158,High Latency,Core network congestion,Check UPF utilization
2026-01-02 17:10:00,Cell_01,-84.29,17.25,116.11,280.27,1.51,159,High Latency,Core network congestion,Check UPF utilization
2026-01-02 17:20:00,Cell_01,-85.01,15.6,113.43,268.28,1.72,163,High Latency,Core network congestion,Check UPF utilization
2026-01-02 17:45:00,Cell_04,-108.94,6.25,93.45,119.76,1.45,109,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-02 17:50:00,Cell_01,-90.09,15.92,119.38,285.6,1.6,173,High Latency,Core network congestion,Check UPF utilization
2026-01-02 17:55:00,Cell_01,-83.73,17.37,118.04,275.16,1.29,164,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:00:00,Cell_01,-92.49,16.85,121.84,298.08,1.65,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:05:00,Cell_01,-86.02,16.01,115.45,262.09,1.77,166,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:05:00,Cell_04,-107.95,4.65,88.69,131.33,0.93,127,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-02 18:10:00,Cell_05,-89.16,12.83,120.5,250.38,1.09,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:10:00,Cell_01,-91.21,16.24,126.53,300.87,1.82,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:15:00,Cell_05,-92.3,13.09,123.7,254.53,1.84,167,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:15:00,Cell_01,-89.61,12.99,121.63,258.82,1.68,174,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:20:00,Cell_01,-83.16,15.61,125.55,290.6,2.12,180,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:25:00,Cell_05,-95.88,9.99,124.24,236.29,1.89,174,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 18:25:00,Cell_01,-90.23,14.78,129.64,279.3,2.13,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:30:00,Cell_01,-81.89,15.03,112.38,272.77,1.72,175,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:35:00,Cell_01,-92.3,17.17,136.28,332.78,1.39,195,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:40:00,Cell_01,-88.54,16.3,123.3,298.53,1.45,184,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:40:00,Cell_05,-95.84,11.74,129.47,252.45,1.8,177,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:45:00,Cell_01,-92.93,16.71,120.49,311.6,1.61,180,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:45:00,Cell_02,-94.72,12.88,123.64,241.97,2.15,170,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:50:00,Cell_05,-91.53,12.93,121.4,262.92,1.28,174,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:50:00,Cell_01,-89.94,14.21,124.78,288.63,2.1,182,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:50:00,Cell_02,-92.04,12.57,129.79,237.71,1.88,168,High Latency,Core network congestion,Check UPF utilization
2026-01-02 18:55:00,Cell_01,-84.99,16.56,126.1,294.71,1.46,173,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:00:00,Cell_01,-91.46,15.18,124.09,294.31,1.25,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:00:00,Cell_02,-94.9,13.12,120.85,250.68,1.18,176,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:05:00,Cell_05,-90.53,13.58,124.53,241.98,1.72,171,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:05:00,Cell_02,-91.36,10.67,115.03,200.38,1.8,153,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:05:00,Cell_01,-88.91,14.32,122.66,292.99,1.91,191,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:10:00,Cell_03,-99.73,8.73,114.57,183.27,1.35,161,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:10:00,Cell_01,-88.49,17.28,133.22,325.21,1.93,189,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:15:00,Cell_01,-88.92,18.16,124.57,311.07,1.6,181,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:20:00,Cell_05,-90.94,12.38,121.17,234.55,1.66,167,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:20:00,Cell_03,-97.53,6.69,111.34,175.15,1.8,153,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:25:00,Cell_04,-109.0,4.12,93.36,128.44,1.65,129,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:25:00,Cell_01,-87.05,16.26,113.79,300.51,1.06,179,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:30:00,Cell_04,-110.96,6.73,88.05,155.14,0.37,129,"Low RSRP, Low SINR, High Latency","Poor radio coverage, High interference, Core network congestion","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:30:00,Cell_05,-95.95,14.9,127.1,290.13,1.25,183,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:35:00,Cell_01,-90.68,16.05,122.29,274.31,2.21,173,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:35:00,Cell_03,-102.2,8.93,106.73,192.18,0.58,148,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:40:00,Cell_05,-95.45,14.36,115.4,284.77,1.53,179,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:40:00,Cell_01,-88.51,12.79,130.41,252.28,1.5,180,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:45:00,Cell_05,-89.99,14.85,117.05,281.03,1.4,178,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:45:00,Cell_03,-101.0,9.46,122.07,201.5,1.68,152,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:50:00,Cell_01,-88.78,15.32,121.64,288.22,1.47,177,High Latency,Core network congestion,Check UPF utilization
2026-01-02 19:50:00,Cell_03,-100.98,9.18,110.93,186.32,1.6,149,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 19:55:00,Cell_01,-88.53,15.71,117.5,279.38,1.66,176,High Latency,Core network congestion,Check UPF utilization
2026-01-02 20:00:00,Cell_01,-87.39,15.71,125.38,287.98,1.83,174,High Latency,Core network congestion,Check UPF utilization
2026-01-02 20:05:00,Cell_03,-97.55,7.88,115.41,188.21,1.39,154,"Low SINR, High Latency","High interference, Core network congestion","Review neighboring cell configuration, Check UPF utilization"
2026-01-02 20:05:00,Cell_01,-87.69,16.41,124.69,299.7,1.41,179,High Latency,Core network congestion,Check UPF utilization
2026-01-02 20:10:00,Cell_01,-89.48,15.42,125.41,296.92,1.99,187,High Latency,Core network congestion,Check UPF utilization
2026-01-02 20:15:00,Cell_01,-91.64,14.89,117.26,241.84,2.16,162,High Latency,Core network congestion,Check UPF utilization
2026-01-02 20:25:00,Cell_05,-99.68,10.58,152.4,185.97,5.5,155,"High Latency, High Packet Loss","Core network congestion, Backhaul issues","Check UPF utilization, Inspect transport network"
2026-01-02 20:45:00,Cell_01,-106.83,15.27,147.4,191.4,6.59,141,"Low RSRP, High Latency, High Packet Loss","Poor radio coverage, Core network congestion, Backhaul issues","Optimize antenna tilt, Check UPF utilization, Inspect transport network"
2026-01-02 22:15:00,Cell_02,-110.42,6.28,127.87,92.44,3.37,100,"Low RSRP, Low SINR, High Latency, High Packet Loss","Poor radio coverage, High interference, Core network congestion, Backhaul issues","Optimize antenna tilt, Review neighboring cell configuration, Check UPF utilization, Inspect transport network"
2026-01-03 00:05:00,Cell_04,-100.98,5.16,41.37,29.62,0.67,34,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 00:15:00,Cell_04,-104.97,9.58,46.71,29.23,0.11,31,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 00:20:00,Cell_01,-84.47,20.08,46.76,90.97,0.06,39,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 00:25:00,Cell_04,-101.68,10.41,35.31,59.64,0.0,35,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 00:35:00,Cell_03,-95.94,15.06,32.94,40.43,0.5,26,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 00:35:00,Cell_04,-102.17,9.58,37.5,33.55,0.15,32,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 00:40:00,Cell_01,-80.83,20.19,47.18,82.32,0.09,47,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 00:40:00,Cell_03,-98.65,14.07,30.7,53.74,0.0,37,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 00:50:00,Cell_01,-81.0,17.83,48.84,79.37,0.0,44,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 01:00:00,Cell_04,-98.75,6.87,38.82,40.34,0.07,33,Low SINR,High interference,Review neighboring cell configuration
2026-01-03 01:05:00,Cell_01,-80.04,19.33,47.97,80.83,0.11,48,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 01:05:00,Cell_04,-100.76,9.64,38.41,32.99,0.44,25,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 01:10:00,Cell_02,-101.78,11.75,78.95,27.12,5.1,34,"High Packet Loss, Low Throughput","Backhaul issues, Heavy traffic load","Inspect transport network, Enable load balancing"
2026-01-03 01:15:00,Cell_04,-104.32,8.61,34.46,23.62,0.3,26,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 01:15:00,Cell_05,-89.26,16.64,44.5,53.16,0.0,34,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 01:20:00,Cell_04,-101.18,7.12,41.12,34.44,0.71,35,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 01:25:00,Cell_04,-108.48,8.27,44.99,28.85,0.2,28,"Low RSRP, Low SINR, Low Throughput","Poor radio coverage, High interference, Heavy traffic load","Optimize antenna tilt, Review neighboring cell configuration, Enable load balancing"
2026-01-03 01:25:00,Cell_01,-85.26,20.76,38.26,71.06,0.84,37,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 01:30:00,Cell_04,-104.86,6.78,40.09,43.77,0.07,34,Low SINR,High interference,Review neighboring cell configuration
2026-01-03 01:40:00,Cell_04,-105.75,6.85,37.65,41.04,0.28,36,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
2026-01-03 01:45:00,Cell_04,-103.01,7.59,38.38,22.06,0.19,26,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 01:50:00,Cell_04,-104.18,6.04,37.08,24.89,0.31,23,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 02:00:00,Cell_04,-101.06,7.87,35.3,43.15,0.5,32,Low SINR,High interference,Review neighboring cell configuration
2026-01-03 02:05:00,Cell_02,-102.39,9.57,98.97,36.11,4.2,41,"Low SINR, High Latency, High Packet Loss, Low Throughput","High interference, Core network congestion, Backhaul issues, Heavy traffic load","Review neighboring cell configuration, Check UPF utilization, Inspect transport network, Enable load balancing"
2026-01-03 02:05:00,Cell_04,-99.11,6.46,39.81,17.13,0.29,33,"Low SINR, Low Throughput","High interference, Heavy traffic load","Review neighboring cell configuration, Enable load balancing"
2026-01-03 02:15:00,Cell_03,-94.72,12.36,33.61,50.05,0.28,34,Unusual KPI combination,Requires further investigation,Review all network KPIs
2026-01-03 02:15:00,Cell_04,-106.51,7.85,35.71,52.0,0.2,39,"Low RSRP, Low SINR","Poor radio coverage, High interference","Optimize antenna tilt, Review neighboring cell configuration"
